day,LCLid,energy
2012-08-23,MAC003045,4.203
2012-08-24,MAC003045,4.486
2012-08-25,MAC003045,5.338
2012-08-26,MAC003045,5.331
2012-08-27,MAC003045,5.542
2012-08-28,MAC003045,5.332
2012-08-29,MAC003045,5.02
2012-08-30,MAC003045,5.149
2012-08-31,MAC003045,4.763
2012-09-01,MAC003045,4.417
2012-09-02,MAC003045,4.388
2012-09-03,MAC003045,4.556
2012-09-04,MAC003045,4.7620000000000005
2012-09-05,MAC003045,4.474
2012-09-06,MAC003045,4.2250000000000005
2012-09-07,MAC003045,4.359
2012-09-08,MAC003045,5.101
2012-09-09,MAC003045,4.253
2012-09-10,MAC003045,4.334
2012-09-11,MAC003045,4.491
2012-09-12,MAC003045,4.468
2012-09-13,MAC003045,4.745
2012-09-14,MAC003045,4.336
2012-09-15,MAC003045,4.434
2012-09-16,MAC003045,4.649
2012-09-17,MAC003045,4.609
2012-09-18,MAC003045,4.549
2012-09-19,MAC003045,4.484
2012-09-20,MAC003045,4.6450000000000005
2012-09-21,MAC003045,4.414
2012-09-22,MAC003045,4.256
2012-09-23,MAC003045,4.789
2012-09-24,MAC003045,4.812
2012-09-25,MAC003045,4.442
2012-09-26,MAC003045,4.628
2012-09-27,MAC003045,4.5600000000000005
2012-09-28,MAC003045,4.402
2012-09-29,MAC003045,4.491
2012-09-30,MAC003045,4.504
2012-10-01,MAC003045,4.569
2012-10-02,MAC003045,4.509
2012-10-03,MAC003045,4.417
2012-10-04,MAC003045,4.66
2012-10-05,MAC003045,4.785
2012-10-06,MAC003045,4.371
2012-10-07,MAC003045,4.331
2012-10-08,MAC003045,4.869
2012-10-09,MAC003045,4.423
2012-10-10,MAC003045,4.695
2012-10-11,MAC003045,5.104
2012-10-12,MAC003045,4.621
2012-10-13,MAC003045,4.551
2012-10-14,MAC003045,4.6690000000000005
2012-10-15,MAC003045,4.4590000000000005
2012-10-16,MAC003045,4.468
2012-10-17,MAC003045,4.364
2012-10-18,MAC003045,4.904
2012-10-19,MAC003045,4.38
2012-10-20,MAC003045,4.535
2012-10-21,MAC003045,4.772
2012-10-22,MAC003045,4.3870000000000005
2012-10-23,MAC003045,4.722
2012-10-24,MAC003045,4.5920000000000005
2012-10-25,MAC003045,4.492
2012-10-26,MAC003045,4.871
2012-10-27,MAC003045,4.638
2012-10-28,MAC003045,4.978
2012-10-29,MAC003045,4.737
2012-10-30,MAC003045,4.615
2012-10-31,MAC003045,4.635
2012-11-01,MAC003045,5.0360000000000005
2012-11-02,MAC003045,4.24
2012-11-03,MAC003045,4.268
2012-11-04,MAC003045,4.233
2012-11-05,MAC003045,4.601
2012-11-06,MAC003045,5.68
2012-11-07,MAC003045,4.67
2012-11-08,MAC003045,4.604
2012-11-09,MAC003045,4.623
2012-11-10,MAC003045,4.468
2012-11-11,MAC003045,4.489
2012-11-12,MAC003045,4.934
2012-11-13,MAC003045,4.763
2012-11-14,MAC003045,4.584
2012-11-15,MAC003045,4.601
2012-11-16,MAC003045,4.752
2012-11-17,MAC003045,4.814
2012-11-18,MAC003045,4.49
2012-11-19,MAC003045,4.696
2012-11-20,MAC003045,4.665
2012-11-21,MAC003045,4.816
2012-11-22,MAC003045,4.906
2012-11-23,MAC003045,4.627
2012-11-24,MAC003045,4.8580000000000005
2012-11-25,MAC003045,4.949
2012-11-26,MAC003045,5.178
2012-11-27,MAC003045,4.731
2012-11-28,MAC003045,4.668
2012-11-29,MAC003045,4.775
2012-11-30,MAC003045,4.745
2012-12-01,MAC003045,4.995
2012-12-02,MAC003045,5.056
2012-12-03,MAC003045,4.771
2012-12-04,MAC003045,4.672
2012-12-05,MAC003045,4.915
2012-12-06,MAC003045,4.946
2012-12-07,MAC003045,4.811
2012-12-08,MAC003045,4.689
2012-12-09,MAC003045,4.907
2012-12-10,MAC003045,4.738
2012-12-11,MAC003045,4.707
2012-12-12,MAC003045,5.034
2012-12-13,MAC003045,4.945
2012-12-14,MAC003045,4.665
2012-12-15,MAC003045,4.725
2012-12-16,MAC003045,4.659
2012-12-17,MAC003045,4.918
2012-12-18,MAC003045,4.753
2012-12-19,MAC003045,4.744
2012-12-20,MAC003045,4.572
2012-12-21,MAC003045,4.855
2012-12-22,MAC003045,4.866
2012-12-23,MAC003045,4.84
2012-12-24,MAC003045,4.839
2012-12-25,MAC003045,4.7860000000000005
2012-12-26,MAC003045,4.837
2012-12-27,MAC003045,4.834
2012-12-28,MAC003045,4.7940000000000005
2012-12-29,MAC003045,4.718
2012-12-30,MAC003045,4.745
2012-12-31,MAC003045,5.001
2013-01-01,MAC003045,4.788
2013-01-02,MAC003045,4.747
2013-01-03,MAC003045,4.68
2013-01-04,MAC003045,5.051
2013-01-05,MAC003045,4.602
2013-01-06,MAC003045,4.718
2013-01-07,MAC003045,4.7620000000000005
2013-01-08,MAC003045,5.0
2013-01-09,MAC003045,4.707
2013-01-10,MAC003045,4.646
2013-01-11,MAC003045,4.928
2013-01-12,MAC003045,4.781000000000001
2013-01-13,MAC003045,5.0440000000000005
2013-01-14,MAC003045,5.116
2013-01-15,MAC003045,5.394
2013-01-16,MAC003045,4.949
2013-01-17,MAC003045,5.386
2013-01-18,MAC003045,5.196
2013-01-19,MAC003045,5.178
2013-01-20,MAC003045,5.016
2013-01-21,MAC003045,4.991
2013-01-22,MAC003045,5.357
2013-01-23,MAC003045,4.8
2013-01-24,MAC003045,5.016
2013-01-25,MAC003045,5.31
2013-01-26,MAC003045,4.485
2013-01-27,MAC003045,5.013
2013-01-28,MAC003045,4.896
2013-01-29,MAC003045,4.995
2013-01-30,MAC003045,4.809
2013-01-31,MAC003045,4.788
2013-02-01,MAC003045,4.891
2013-02-02,MAC003045,4.72
2013-02-03,MAC003045,4.888
2013-02-04,MAC003045,5.195
2013-02-05,MAC003045,4.904
2013-02-06,MAC003045,4.804
2013-02-07,MAC003045,4.971
2013-02-08,MAC003045,4.917
2013-02-09,MAC003045,4.7620000000000005
2013-02-10,MAC003045,4.764
2013-02-11,MAC003045,5.047
2013-02-12,MAC003045,5.2
2013-02-13,MAC003045,4.969
2013-02-14,MAC003045,4.883
2013-02-15,MAC003045,4.917
2013-02-16,MAC003045,5.241
2013-02-17,MAC003045,4.9350000000000005
2013-02-18,MAC003045,5.184
2013-02-19,MAC003045,5.049
2013-02-20,MAC003045,4.744
2013-02-21,MAC003045,5.216
2013-02-22,MAC003045,4.904
2013-02-23,MAC003045,4.752
2013-02-24,MAC003045,4.741
2013-02-25,MAC003045,4.742
2013-02-26,MAC003045,4.753
2013-02-27,MAC003045,4.779
2013-02-28,MAC003045,4.479
2013-03-01,MAC003045,4.828
2013-03-02,MAC003045,4.738
2013-03-03,MAC003045,4.72
2013-03-04,MAC003045,4.627
2013-03-05,MAC003045,4.461
2013-03-06,MAC003045,4.894
2013-03-07,MAC003045,4.43
2013-03-08,MAC003045,4.558
2013-03-09,MAC003045,4.549
2013-03-10,MAC003045,4.827
2013-03-11,MAC003045,4.712
2013-03-12,MAC003045,4.73
2013-03-13,MAC003045,5.047
2013-03-14,MAC003045,4.745
2013-03-15,MAC003045,4.676
2013-03-16,MAC003045,4.62
2013-03-17,MAC003045,4.756
2013-03-18,MAC003045,4.961
2013-03-19,MAC003045,4.718
2013-03-20,MAC003045,4.937
2013-03-21,MAC003045,5.07
2013-03-22,MAC003045,4.865
2013-03-23,MAC003045,4.831
2013-03-24,MAC003045,4.989
2013-03-25,MAC003045,4.798
2013-03-26,MAC003045,5.027
2013-03-27,MAC003045,4.742
2013-03-28,MAC003045,4.924
2013-03-29,MAC003045,5.17
2013-03-30,MAC003045,4.731
2013-03-31,MAC003045,4.845
2013-04-01,MAC003045,4.997
2013-04-02,MAC003045,4.769
2013-04-03,MAC003045,4.8660000000000005
2013-04-04,MAC003045,5.241
2013-04-05,MAC003045,4.809
2013-04-06,MAC003045,4.854
2013-04-07,MAC003045,4.868
2013-04-08,MAC003045,4.946
2013-04-09,MAC003045,4.758
2013-04-10,MAC003045,4.688
2013-04-11,MAC003045,4.606
2013-04-12,MAC003045,4.563
2013-04-13,MAC003045,4.724
2013-04-14,MAC003045,5.053
2013-04-15,MAC003045,4.6530000000000005
2013-04-16,MAC003045,4.72
2013-04-17,MAC003045,4.635
2013-04-18,MAC003045,4.671
2013-04-19,MAC003045,4.604
2013-04-20,MAC003045,4.644
2013-04-21,MAC003045,4.7330000000000005
2013-04-22,MAC003045,4.76
2013-04-23,MAC003045,4.621
2013-04-24,MAC003045,4.777
2013-04-25,MAC003045,4.546
2013-04-26,MAC003045,4.906
2013-04-27,MAC003045,4.694
2013-04-28,MAC003045,4.912
2013-04-29,MAC003045,4.827
2013-04-30,MAC003045,4.697
2013-05-01,MAC003045,4.642
2013-05-02,MAC003045,4.726
2013-05-03,MAC003045,4.479
2013-05-04,MAC003045,4.668
2013-05-05,MAC003045,4.543
2013-05-06,MAC003045,4.508
2013-05-07,MAC003045,4.556
2013-05-08,MAC003045,4.627
2013-05-09,MAC003045,4.55
2013-05-10,MAC003045,4.689
2013-05-11,MAC003045,4.568
2013-05-12,MAC003045,4.65
2013-05-13,MAC003045,4.769
2013-05-14,MAC003045,4.635
2013-05-15,MAC003045,4.663
2013-05-16,MAC003045,4.72
2013-05-17,MAC003045,4.752
2013-05-18,MAC003045,4.577
2013-05-19,MAC003045,4.654
2013-05-20,MAC003045,4.474
2013-05-21,MAC003045,4.946
2013-05-22,MAC003045,4.743
2013-05-23,MAC003045,4.845
2013-05-24,MAC003045,4.98
2013-05-25,MAC003045,4.803
2013-05-26,MAC003045,4.714
2013-05-27,MAC003045,4.6770000000000005
2013-05-28,MAC003045,4.918
2013-05-29,MAC003045,4.891
2013-05-30,MAC003045,4.617
2013-05-31,MAC003045,4.596
2013-06-01,MAC003045,4.503
2013-06-02,MAC003045,4.563
2013-06-03,MAC003045,4.607
2013-06-04,MAC003045,4.595
2013-06-05,MAC003045,4.182
2013-06-06,MAC003045,4.126
2013-06-07,MAC003045,4.212
2013-06-08,MAC003045,4.432
2013-06-09,MAC003045,4.582
2013-06-10,MAC003045,4.474
2013-06-11,MAC003045,4.567
2013-06-12,MAC003045,4.627
2013-06-13,MAC003045,4.564
2013-06-14,MAC003045,4.5
2013-06-15,MAC003045,4.585
2013-06-16,MAC003045,4.513
2013-06-17,MAC003045,4.515
2013-06-18,MAC003045,4.422
2013-06-19,MAC003045,4.456
2013-06-20,MAC003045,4.213
2013-06-21,MAC003045,4.24
2013-06-22,MAC003045,4.546
2013-06-23,MAC003045,4.51
2013-06-24,MAC003045,4.532
2013-06-25,MAC003045,4.6530000000000005
2013-06-26,MAC003045,4.524
2013-06-27,MAC003045,4.663
2013-06-28,MAC003045,4.496
2013-06-29,MAC003045,4.386
2013-06-30,MAC003045,4.522
2013-07-01,MAC003045,4.511
2013-07-02,MAC003045,4.783
2013-07-03,MAC003045,4.359
2013-07-04,MAC003045,4.476
2013-07-05,MAC003045,4.444
2013-07-06,MAC003045,4.3100000000000005
2013-07-07,MAC003045,4.589
2013-07-08,MAC003045,4.314
2013-07-09,MAC003045,4.463
2013-07-10,MAC003045,4.36
2013-07-11,MAC003045,4.62
2013-07-12,MAC003045,4.381
2013-07-13,MAC003045,4.229
2013-07-14,MAC003045,4.327
2013-07-15,MAC003045,4.259
2013-07-16,MAC003045,4.304
2013-07-17,MAC003045,4.324
2013-07-18,MAC003045,4.346
2013-07-19,MAC003045,4.379
2013-07-20,MAC003045,4.168
2013-07-21,MAC003045,4.215
2013-07-22,MAC003045,4.2010000000000005
2013-07-23,MAC003045,4.588
2013-07-24,MAC003045,4.309
2013-07-25,MAC003045,4.263
2013-07-26,MAC003045,4.37
2013-07-27,MAC003045,4.311
2013-07-28,MAC003045,4.18
2013-07-29,MAC003045,4.292
2013-07-30,MAC003045,4.2700000000000005
2013-07-31,MAC003045,4.418
2013-08-01,MAC003045,4.261
2013-08-02,MAC003045,4.28
2013-08-03,MAC003045,4.27
2013-08-04,MAC003045,4.269
2013-08-05,MAC003045,4.23
2013-08-06,MAC003045,4.375
2013-08-07,MAC003045,4.166
2013-08-08,MAC003045,4.251
2013-08-09,MAC003045,4.54
2013-08-10,MAC003045,4.339
2013-08-11,MAC003045,4.631
2013-08-12,MAC003045,4.4190000000000005
2013-08-13,MAC003045,4.331
2013-08-14,MAC003045,4.502
2013-08-15,MAC003045,4.343
2013-08-16,MAC003045,4.442
2013-08-17,MAC003045,4.393
2013-08-18,MAC003045,4.53
2013-08-19,MAC003045,4.526
2013-08-20,MAC003045,4.332
2013-08-21,MAC003045,4.648
2013-08-22,MAC003045,4.471
2013-08-23,MAC003045,4.406
2013-08-24,MAC003045,4.23
2013-08-25,MAC003045,4.206
2013-08-26,MAC003045,4.292
2013-08-27,MAC003045,4.339
2013-08-28,MAC003045,4.553
2013-08-29,MAC003045,4.44
2013-08-30,MAC003045,4.718
2013-08-31,MAC003045,4.439
2013-09-01,MAC003045,4.58
2013-09-02,MAC003045,4.408
2013-09-03,MAC003045,4.388
2013-09-04,MAC003045,4.312
2013-09-05,MAC003045,4.195
2013-09-06,MAC003045,4.291
2013-09-07,MAC003045,4.319
2013-09-08,MAC003045,4.522
2013-09-09,MAC003045,4.508
2013-09-10,MAC003045,4.615
2013-09-11,MAC003045,4.591
2013-09-12,MAC003045,4.301
2013-09-13,MAC003045,4.564
2013-09-14,MAC003045,4.531000000000001
2013-09-15,MAC003045,4.67
2013-09-16,MAC003045,4.612
2013-09-17,MAC003045,4.482
2013-09-18,MAC003045,4.471
2013-09-19,MAC003045,4.47
2013-09-20,MAC003045,4.375
2013-09-21,MAC003045,4.484
2013-09-22,MAC003045,4.761
2013-09-23,MAC003045,4.713
2013-09-24,MAC003045,4.509
2013-09-25,MAC003045,4.599
2013-09-26,MAC003045,3.73
2013-09-27,MAC003045,3.241
2013-09-28,MAC003045,4.545
2013-09-29,MAC003045,4.751
2013-09-30,MAC003045,4.373
2013-10-01,MAC003045,4.465
2013-10-02,MAC003045,4.538
2013-10-03,MAC003045,4.557
2013-10-04,MAC003045,4.441
2013-10-05,MAC003045,4.574
2013-10-06,MAC003045,4.398
2013-10-07,MAC003045,4.739
2013-10-08,MAC003045,4.374
2013-10-09,MAC003045,4.477
2013-10-10,MAC003045,4.579
2013-10-11,MAC003045,4.776
2013-10-12,MAC003045,4.393
2013-10-13,MAC003045,4.539
2013-10-14,MAC003045,4.529
2013-10-15,MAC003045,4.733
2013-10-16,MAC003045,4.474
2013-10-17,MAC003045,4.594
2013-10-18,MAC003045,4.866
2013-10-19,MAC003045,4.594
2013-10-20,MAC003045,4.57
2013-10-21,MAC003045,4.586
2013-10-22,MAC003045,4.628
2013-10-23,MAC003045,4.4270000000000005
2013-10-24,MAC003045,4.5840000000000005
2013-10-25,MAC003045,4.453
2013-10-26,MAC003045,4.372
2013-10-27,MAC003045,4.705
2013-10-28,MAC003045,4.595
2013-10-29,MAC003045,4.514
2013-10-30,MAC003045,4.415
2013-10-31,MAC003045,4.4190000000000005
2013-11-01,MAC003045,4.534
2013-11-02,MAC003045,4.529
2013-11-03,MAC003045,4.349
2013-11-04,MAC003045,4.331
2013-11-05,MAC003045,4.705
2013-11-06,MAC003045,4.542
2013-11-07,MAC003045,4.78
2013-11-08,MAC003045,4.503
2013-11-09,MAC003045,4.69
2013-11-10,MAC003045,4.651
2013-11-11,MAC003045,4.714
2013-11-12,MAC003045,4.555
2013-11-13,MAC003045,4.717
2013-11-14,MAC003045,4.7780000000000005
2013-11-15,MAC003045,4.558
2013-11-16,MAC003045,4.428
2013-11-17,MAC003045,4.665
2013-11-18,MAC003045,4.605
2013-11-19,MAC003045,4.844
2013-11-20,MAC003045,4.615
2013-11-21,MAC003045,4.734
2013-11-22,MAC003045,4.605
2013-11-23,MAC003045,4.418
2013-11-24,MAC003045,4.673
2013-11-25,MAC003045,4.58
2013-11-26,MAC003045,4.905
2013-11-27,MAC003045,4.455
2013-11-28,MAC003045,4.481
2013-11-29,MAC003045,4.694
2013-11-30,MAC003045,4.475
2013-12-01,MAC003045,4.633
2013-12-02,MAC003045,4.475
2013-12-03,MAC003045,4.557
2013-12-04,MAC003045,4.65
2013-12-05,MAC003045,4.712
2013-12-06,MAC003045,4.714
2013-12-07,MAC003045,4.63
2013-12-08,MAC003045,4.659
2013-12-09,MAC003045,4.582
2013-12-10,MAC003045,4.535
2013-12-11,MAC003045,4.578
2013-12-12,MAC003045,4.54
2013-12-13,MAC003045,4.573
2013-12-14,MAC003045,4.607
2013-12-15,MAC003045,4.693
2013-12-16,MAC003045,4.66
2013-12-17,MAC003045,4.566
2013-12-18,MAC003045,4.531
2013-12-19,MAC003045,4.721
2013-12-20,MAC003045,4.625
2013-12-21,MAC003045,4.566
2013-12-22,MAC003045,4.626
2013-12-23,MAC003045,4.8
2013-12-24,MAC003045,4.673
2013-12-25,MAC003045,4.635
2013-12-26,MAC003045,4.816
2013-12-27,MAC003045,4.679
2013-12-28,MAC003045,4.709
2013-12-29,MAC003045,4.562
2013-12-30,MAC003045,4.726
2013-12-31,MAC003045,4.627
2014-01-01,MAC003045,4.772
2014-01-02,MAC003045,4.722
2014-01-03,MAC003045,4.654
2014-01-04,MAC003045,4.615
2014-01-05,MAC003045,4.562
2014-01-06,MAC003045,4.806
2014-01-07,MAC003045,4.875
2014-01-08,MAC003045,4.712
2014-01-09,MAC003045,4.932
2014-01-10,MAC003045,4.438
2014-01-11,MAC003045,4.647
2014-01-12,MAC003045,4.683
2014-01-13,MAC003045,4.773
2014-01-14,MAC003045,4.751
2014-01-15,MAC003045,4.776
2014-01-16,MAC003045,4.664
2014-01-17,MAC003045,4.447
2014-01-18,MAC003045,4.501
2014-01-19,MAC003045,4.682
2014-01-20,MAC003045,4.611
2014-01-21,MAC003045,4.797
2014-01-22,MAC003045,4.456
2014-01-23,MAC003045,4.771
2014-01-24,MAC003045,4.6850000000000005
2014-01-25,MAC003045,4.454
2014-01-26,MAC003045,4.644
2014-01-27,MAC003045,4.784
2014-01-28,MAC003045,4.829
2014-01-29,MAC003045,4.363
2014-01-30,MAC003045,4.903
2014-01-31,MAC003045,4.631
2014-02-01,MAC003045,4.464
2014-02-02,MAC003045,4.698
2014-02-03,MAC003045,4.71
2014-02-04,MAC003045,4.719
2014-02-05,MAC003045,4.838
2014-02-06,MAC003045,4.68
2014-02-07,MAC003045,4.5920000000000005
2014-02-08,MAC003045,4.723
2014-02-09,MAC003045,4.822
2014-02-10,MAC003045,5.153
2014-02-11,MAC003045,4.722
2014-02-12,MAC003045,4.758
2014-02-13,MAC003045,4.817
2014-02-14,MAC003045,4.95
2014-02-15,MAC003045,4.599
2014-02-16,MAC003045,4.791
2014-02-17,MAC003045,4.57
2014-02-18,MAC003045,4.626
2014-02-19,MAC003045,4.6450000000000005
2014-02-20,MAC003045,4.607
2014-02-21,MAC003045,4.582
2014-02-22,MAC003045,4.62
2014-02-23,MAC003045,4.731
2014-02-24,MAC003045,4.598
2014-02-25,MAC003045,4.575
2014-02-26,MAC003045,4.656
2014-02-27,MAC003045,4.651
2014-02-28,MAC003045,0.236
